timestamp,cell_id,band,rsrp_dbm,sinr_db,cqi,prb_utilization_dl,throughput_dl_mbps,latency_ms,packet_loss_rate,rrc_setup_success_rate,handover_success_rate,call_drop_rate,active_users
2026-01-05 00:00:00,Cell_001,n78,-97.2,17.25,12.3,32.39,58.98,24.51,0.0054,98.49,96.15,0.0078,99
2026-01-05 00:15:00,Cell_001,B20,-91.67,18.38,11.7,41.13,75.69,20.16,0.0078,98.47,96.82,0.0046,105
2026-01-05 00:30:00,Cell_001,B3,-94.14,13.94,11.7,50.92,76.13,25.72,0.0103,98.26,96.49,0.0044,97
2026-01-05 00:45:00,Cell_001,B20,-86.36,14.66,9.8,41.4,78.51,26.97,0.0071,98.1,97.23,0.0062,91
2026-01-05 01:00:00,Cell_001,n78,-90.88,17.04,11.1,50.31,78.31,18.17,0.0054,98.22,96.36,0.0054,109
2026-01-05 01:15:00,Cell_001,B7,-96.33,17.9,8.6,45.32,73.63,26.34,0.0074,98.98,96.65,0.0051,100
2026-01-05 01:30:00,Cell_001,B3,-98.38,11.6,9.7,51.98,73.42,26.76,0.0051,98.6,97.63,0.0054,94
2026-01-05 01:45:00,Cell_001,B3,-95.31,13.91,10.5,38.43,76.87,22.12,0.006,98.79,97.45,0.0073,87
2026-01-05 02:00:00,Cell_001,n78,-92.4,9.94,9.0,37.42,62.03,25.6,0.0042,98.27,98.3,0.0053,98
2026-01-05 02:15:00,Cell_001,B3,-96.67,14.38,9.7,45.29,80.4,17.09,0.0069,98.64,96.41,0.0031,89
2026-01-05 02:30:00,Cell_001,B3,-90.84,15.07,13.2,46.09,61.77,24.72,0.0064,99.32,97.84,0.0067,108
2026-01-05 02:45:00,Cell_001,B7,-97.94,13.08,9.7,44.88,58.23,26.54,0.0056,97.62,95.98,0.0066,100
2026-01-05 03:00:00,Cell_001,B3,-77.43,16.24,9.6,30.94,74.68,20.75,0.0052,98.13,96.86,0.0081,90
2026-01-05 03:15:00,Cell_001,B3,-92.79,11.89,8.7,44.11,71.46,31.07,0.0063,99.09,96.5,0.0036,74
2026-01-05 03:30:00,Cell_001,n78,-81.36,12.54,12.2,40.78,81.32,25.54,0.0057,98.48,96.35,0.0069,82
2026-01-05 03:45:00,Cell_001,B7,-98.13,11.17,11.2,60.63,73.6,23.53,0.0066,99.28,97.22,0.0052,103
2026-01-05 04:00:00,Cell_001,B20,-84.32,15.55,9.3,37.05,88.51,30.89,0.0056,98.27,98.46,0.0038,75
2026-01-05 04:15:00,Cell_001,n78,-88.78,13.82,11.0,46.69,75.38,29.63,0.0062,98.89,94.95,0.0059,76
2026-01-05 04:30:00,Cell_001,B20,-96.39,14.0,12.3,37.39,72.31,22.06,0.0053,99.1,97.54,0.0087,86
2026-01-05 04:45:00,Cell_001,B7,-95.48,14.33,11.3,49.41,61.16,24.36,0.0065,100.0,98.88,0.0043,84
2026-01-05 05:00:00,Cell_001,B3,-94.95,15.95,12.7,42.17,65.46,15.41,0.0057,97.86,96.47,0.0042,87
2026-01-05 05:15:00,Cell_001,B3,-100.79,10.6,14.0,37.7,61.03,31.35,0.0118,97.8,96.63,0.0067,112
2026-01-05 05:30:00,Cell_001,B3,-93.23,17.33,11.6,44.99,70.66,18.5,0.0055,98.34,97.23,0.0049,95
2026-01-05 05:45:00,Cell_001,B3,-86.94,15.47,11.5,48.43,72.0,21.11,0.0066,98.44,99.09,0.0091,93
2026-01-05 06:00:00,Cell_001,B3,-97.56,18.57,11.4,51.84,54.55,27.71,0.0069,97.83,96.53,0.0065,89
2026-01-05 06:15:00,Cell_001,n78,-93.46,14.69,10.6,49.22,86.71,13.73,0.0055,98.61,97.3,0.0053,63
2026-01-05 06:30:00,Cell_001,n78,-83.36,10.4,12.2,45.37,71.39,19.79,0.0053,99.28,97.58,0.0095,104
2026-01-05 06:45:00,Cell_001,B3,-89.8,20.23,11.6,54.62,69.03,24.27,0.0046,99.09,95.82,0.0076,85
2026-01-05 07:00:00,Cell_001,B20,-88.25,20.46,12.0,35.42,71.33,19.31,0.005,99.41,97.64,0.0046,74
2026-01-05 07:15:00,Cell_001,B7,-91.84,11.35,10.1,50.5,83.55,26.44,0.0014,98.68,97.07,0.0068,111
2026-01-05 07:30:00,Cell_001,n78,-94.96,16.77,8.8,59.81,75.68,27.39,0.0049,98.99,98.07,0.0065,91
2026-01-05 07:45:00,Cell_001,B7,-90.65,12.41,10.8,46.78,75.83,28.0,0.0039,98.42,98.48,0.0045,76
2026-01-05 08:00:00,Cell_001,B3,-87.78,15.03,12.9,54.85,80.42,26.22,0.0107,98.38,95.0,0.0092,82
2026-01-05 08:15:00,Cell_001,B20,-91.46,18.93,8.8,37.99,55.99,20.82,0.0069,98.81,97.28,0.0032,56
2026-01-05 08:30:00,Cell_001,n78,-94.36,16.38,12.0,49.11,79.6,24.92,0.0071,98.08,96.82,0.0064,99
2026-01-05 08:45:00,Cell_001,B20,-93.97,16.56,10.6,47.06,80.3,16.03,0.0034,97.61,94.67,0.0046,98
2026-01-05 09:00:00,Cell_001,B20,-91.01,18.27,12.9,47.45,85.54,24.37,0.0043,98.14,95.52,0.0042,83
2026-01-05 09:15:00,Cell_001,B20,-87.98,20.16,9.1,51.14,61.59,25.9,0.0057,97.4,97.93,0.0048,81
2026-01-05 09:30:00,Cell_001,B3,-95.27,16.28,10.7,50.63,75.62,29.28,0.0053,97.61,98.07,0.0053,104
2026-01-05 09:45:00,Cell_001,B20,-90.08,14.61,11.5,63.61,92.77,24.28,0.0063,99.15,96.15,0.0067,88
2026-01-05 10:00:00,Cell_001,B20,-96.17,10.23,8.1,39.06,67.41,22.83,0.0099,99.16,96.04,0.0067,82
2026-01-05 10:15:00,Cell_001,B3,-93.42,15.56,11.9,45.29,82.64,19.43,0.006,100.0,97.22,0.0089,89
2026-01-05 10:30:00,Cell_001,n78,-92.28,14.49,9.9,51.44,63.48,26.66,0.0082,98.72,96.71,0.0069,84
2026-01-05 10:45:00,Cell_001,B20,-87.32,9.51,10.5,32.07,57.05,29.46,0.0078,98.07,95.5,0.0001,80
2026-01-05 11:00:00,Cell_001,n78,-89.83,13.32,11.7,35.51,69.03,24.4,0.0058,98.97,97.34,0.0073,78
2026-01-05 11:15:00,Cell_001,B20,-87.51,19.89,9.6,40.9,85.36,23.23,0.0088,98.23,98.46,0.0063,92
2026-01-05 11:30:00,Cell_001,B3,-93.81,12.18,10.4,51.62,56.34,26.55,0.0049,99.19,94.61,0.0044,64
2026-01-05 11:45:00,Cell_001,B3,-96.13,15.74,10.7,45.97,70.41,24.81,0.004,98.92,97.66,0.0068,96
2026-01-05 12:00:00,Cell_001,B7,-81.82,14.74,10.6,41.97,61.68,19.02,0.0042,98.46,97.33,0.0061,77
2026-01-05 12:15:00,Cell_001,B20,-87.5,17.22,10.8,42.78,77.48,24.75,0.0031,98.46,97.26,0.0042,91
2026-01-05 12:30:00,Cell_001,B7,-85.32,18.74,10.6,50.91,47.9,19.37,0.0054,97.86,97.71,0.01,72
2026-01-05 12:45:00,Cell_001,B20,-96.19,15.71,13.3,38.22,74.49,31.29,0.0027,97.73,96.58,0.005,99
2026-01-05 13:00:00,Cell_001,B20,-100.87,16.55,10.2,58.2,65.72,21.45,0.0071,98.96,97.45,0.0026,96
2026-01-05 13:15:00,Cell_001,B3,-97.17,15.71,9.0,51.57,63.93,18.87,0.0074,98.64,96.39,0.0089,82
